day,x_m,y_m,east_disp_m,north_disp_m,vertical_disp_m
0,900.0,-700.0,0.003846,-0.005529,0.002421
10,900.0,-700.0,0.0005,-0.002061,-0.001286
20,900.0,-700.0,-0.001215,-0.003968,-0.001721
30,900.0,-700.0,0.002348,-0.004552,-0.001128
40,900.0,-700.0,-0.007095,-0.001726,0.001174
50,900.0,-700.0,-0.00015,0.000132,-0.003355
60,900.0,-700.0,0.00171,-0.00271,0.002726
70,900.0,-700.0,0.006029,-0.005346,0.031425
80,900.0,-700.0,0.009602,-0.005317,0.05425
90,900.0,-700.0,0.016182,-0.009581,0.082217
100,900.0,-700.0,0.021552,-0.017134,0.108506
110,900.0,-700.0,0.027226,-0.021952,0.131728
120,900.0,-700.0,0.02459,-0.025503,0.161077
130,900.0,-700.0,0.041397,-0.028015,0.192196
140,900.0,-700.0,0.048359,-0.033879,0.213216
150,900.0,-700.0,0.050995,-0.039539,0.241944
160,900.0,-700.0,0.058255,-0.040288,0.272967
170,900.0,-700.0,0.055285,-0.046033,0.300001
180,900.0,-700.0,0.060882,-0.049738,0.324824
190,900.0,-700.0,0.063204,-0.049737,0.34844
200,900.0,-700.0,0.0751,-0.053684,0.372179
210,900.0,-700.0,0.082302,-0.064257,0.404647
220,900.0,-700.0,0.083845,-0.063017,0.428122
230,900.0,-700.0,0.092783,-0.06968,0.458175
240,900.0,-700.0,0.09627,-0.076295,0.488488
250,900.0,-700.0,0.103841,-0.079939,0.509113
260,900.0,-700.0,0.108356,-0.082288,0.539257
270,900.0,-700.0,0.117584,-0.093813,0.573803
280,900.0,-700.0,0.118116,-0.095697,0.588054
290,900.0,-700.0,0.126663,-0.094753,0.619605
300,900.0,-700.0,0.129307,-0.100158,0.645953
310,900.0,-700.0,0.13831,-0.102982,0.673832
320,900.0,-700.0,0.135324,-0.104941,0.699727
330,900.0,-700.0,0.142531,-0.109378,0.729625
340,900.0,-700.0,0.144986,-0.122431,0.753904
350,900.0,-700.0,0.152653,-0.122099,0.789915
360,900.0,-700.0,0.170765,-0.125954,0.811438
