station_id,day,x_m,y_m,east_disp_m,north_disp_m,vertical_disp_m
GNSS-01,0,900.0,-700.0,0.001082,-0.002752,-0.00141
GNSS-02,0,-1300.0,900.0,0.005154,0.004965,0.000648
GNSS-03,0,200.0,1600.0,0.005023,-1.9e-05,-0.002645
GNSS-01,10,900.0,-700.0,0.004877,0.003941,0.000302
GNSS-02,10,-1300.0,900.0,0.003643,-0.000279,-0.000666
GNSS-03,10,200.0,1600.0,0.008611,0.001796,-0.004009
GNSS-01,20,900.0,-700.0,9.8e-05,-7e-05,0.001068
GNSS-02,20,-1300.0,900.0,0.004317,0.004127,6.2e-05
GNSS-03,20,200.0,1600.0,-0.00158,-0.001633,0.000467
GNSS-01,30,900.0,-700.0,0.000723,-0.008186,0.000843
GNSS-02,30,-1300.0,900.0,0.001547,0.002245,-0.000223
GNSS-03,30,200.0,1600.0,-0.002003,0.002152,-0.000324
GNSS-01,40,900.0,-700.0,0.000424,-0.002116,0.005198
GNSS-02,40,-1300.0,900.0,-0.000957,-0.000272,0.008301
GNSS-03,40,200.0,1600.0,0.003138,-0.001954,0.000539
GNSS-01,50,900.0,-700.0,0.00198,0.000589,-0.004105
GNSS-02,50,-1300.0,900.0,-0.001774,-0.001171,-0.002878
GNSS-03,50,200.0,1600.0,-0.003771,-0.002868,-0.00661
GNSS-01,60,900.0,-700.0,-4e-06,0.006286,-0.006284
GNSS-02,60,-1300.0,900.0,0.002384,-0.001175,0.000616
GNSS-03,60,200.0,1600.0,0.001713,-0.000576,-0.006923
GNSS-01,70,900.0,-700.0,0.000738,0.002897,0.028037
GNSS-02,70,-1300.0,900.0,-0.011001,0.007608,0.024762
GNSS-03,70,200.0,1600.0,-0.001246,0.009054,0.026249
GNSS-01,80,900.0,-700.0,0.007948,-0.009028,0.057023
GNSS-02,80,-1300.0,900.0,-0.013671,0.006154,0.055171
GNSS-03,80,200.0,1600.0,-4.4e-05,0.010124,0.051891
GNSS-01,90,900.0,-700.0,0.007916,-0.009577,0.083693
GNSS-02,90,-1300.0,900.0,-0.02817,0.012782,0.078597
GNSS-03,90,200.0,1600.0,-0.005788,0.02416,0.077025
GNSS-01,100,900.0,-700.0,0.017333,-0.009427,0.111256
GNSS-02,100,-1300.0,900.0,-0.027652,0.030027,0.104454
GNSS-03,100,200.0,1600.0,0.003914,0.038941,0.094401
GNSS-01,110,900.0,-700.0,0.024585,-0.021446,0.132
GNSS-02,110,-1300.0,900.0,-0.039467,0.022582,0.121008
GNSS-03,110,200.0,1600.0,0.006359,0.047108,0.127023
GNSS-01,120,900.0,-700.0,0.034093,-0.027798,0.161959
GNSS-02,120,-1300.0,900.0,-0.044074,0.026498,0.149267
GNSS-03,120,200.0,1600.0,0.003099,0.054227,0.143349
GNSS-01,130,900.0,-700.0,0.041637,-0.035376,0.191278
GNSS-02,130,-1300.0,900.0,-0.052568,0.031123,0.179201
GNSS-03,130,200.0,1600.0,0.016774,0.053747,0.180622
GNSS-01,140,900.0,-700.0,0.043328,-0.031543,0.217392
GNSS-02,140,-1300.0,900.0,-0.058983,0.040961,0.204859
GNSS-03,140,200.0,1600.0,0.002751,0.069447,0.196005
GNSS-01,150,900.0,-700.0,0.052679,-0.035625,0.241872
GNSS-02,150,-1300.0,900.0,-0.066889,0.039195,0.227955
GNSS-03,150,200.0,1600.0,0.011322,0.078796,0.2278
GNSS-01,160,900.0,-700.0,0.053251,-0.04524,0.268494
GNSS-02,160,-1300.0,900.0,-0.073277,0.044891,0.244312
GNSS-03,160,200.0,1600.0,0.013875,0.082539,0.238517
GNSS-01,170,900.0,-700.0,0.058186,-0.045112,0.292321
GNSS-02,170,-1300.0,900.0,-0.082412,0.05502,0.27312
GNSS-03,170,200.0,1600.0,0.016603,0.102097,0.272562
GNSS-01,180,900.0,-700.0,0.065405,-0.051461,0.324588
GNSS-02,180,-1300.0,900.0,-0.082242,0.059971,0.294491
GNSS-03,180,200.0,1600.0,0.018119,0.101367,0.298704
GNSS-01,190,900.0,-700.0,0.067571,-0.053798,0.347544
GNSS-02,190,-1300.0,900.0,-0.090996,0.059296,0.326459
GNSS-03,190,200.0,1600.0,0.012132,0.116771,0.318747
GNSS-01,200,900.0,-700.0,0.07692,-0.05519,0.381349
GNSS-02,200,-1300.0,900.0,-0.097057,0.074382,0.34766
GNSS-03,200,200.0,1600.0,0.020772,0.122795,0.342973
GNSS-01,210,900.0,-700.0,0.080614,-0.063296,0.409556
GNSS-02,210,-1300.0,900.0,-0.112374,0.075625,0.374196
GNSS-03,210,200.0,1600.0,0.022022,0.136329,0.374784
GNSS-01,220,900.0,-700.0,0.084446,-0.067565,0.428263
GNSS-02,220,-1300.0,900.0,-0.11942,0.077175,0.403693
GNSS-03,220,200.0,1600.0,0.011322,0.138968,0.395489
GNSS-01,230,900.0,-700.0,0.087004,-0.07323,0.461913
GNSS-02,230,-1300.0,900.0,-0.123946,0.079273,0.420984
GNSS-03,230,200.0,1600.0,0.017776,0.146147,0.419785
GNSS-01,240,900.0,-700.0,0.096573,-0.076796,0.486056
GNSS-02,240,-1300.0,900.0,-0.13221,0.096187,0.446993
GNSS-03,240,200.0,1600.0,0.018996,0.16185,0.443859
GNSS-01,250,900.0,-700.0,0.099867,-0.081988,0.513997
GNSS-02,250,-1300.0,900.0,-0.138167,0.093093,0.469137
GNSS-03,250,200.0,1600.0,0.023228,0.172809,0.464578
GNSS-01,260,900.0,-700.0,0.110826,-0.087497,0.541126
