interferogram_id,orbit,day_start,day_end,incidence_deg,heading_deg
ASC-01,ascending,0,28,39.1054,-11.876832
ASC-02,ascending,28,56,39.1054,-11.876832
ASC-03,ascending,56,84,39.1054,-11.876832
ASC-04,ascending,84,112,39.1054,-11.876832
ASC-05,ascending,112,140,39.1054,-11.876832
ASC-06,ascending,140,210,39.1054,-11.876832
ASC-07,ascending,210,248,39.1054,-11.876832
ASC-08,ascending,248,287,39.1054,-11.876832
ASC-09,ascending,287,325,39.1054,-11.876832
ASC-10,ascending,325,364,39.1054,-11.876832
DESC-01,descending,6,34,39.184,-168.27934
DESC-02,descending,34,62,39.184,-168.27934
DESC-03,descending,62,90,39.184,-168.27934
DESC-04,descending,90,118,39.184,-168.27934
DESC-05,descending,118,146,39.184,-168.27934
DESC-06,descending,146,216,39.184,-168.27934
DESC-07,descending,216,251,39.184,-168.27934
DESC-08,descending,251,287,39.184,-168.27934
DESC-09,descending,287,322,39.184,-168.27934
DESC-10,descending,322,358,39.184,-168.27934
