interferogram_id,point_id,x_m,y_m,elevation_m,los_displacement_m
ASC-01,0,875.67,497.86,1173.71,0.00102
ASC-01,1,2780.5,1765.71,412.23,0.01417
ASC-01,2,1929.8,624.99,688.02,0.007588
ASC-01,3,-1923.55,2119.45,411.65,-0.023885
ASC-01,4,-1398.84,353.29,681.09,-0.003469
ASC-01,5,2614.87,-2112.99,369.29,0.017464
ASC-01,6,-3463.14,579.08,320.51,-0.018057
ASC-01,7,2248.6,-63.45,604.37,0.009824
ASC-01,8,2079.49,-2338.45,389.9,0.017364
ASC-01,9,-224.46,834.16,1066.62,-0.000606
ASC-01,10,-1378.77,2218.72,460.56,-0.013737
ASC-01,11,-1551.02,-2554.39,364.16,0.00063
ASC-01,12,-1715.91,314.62,590.38,-0.010314
ASC-01,13,-384.47,1635.81,719.47,-0.00696
ASC-01,14,31.84,-678.88,1012.92,-0.002651
ASC-01,15,374.48,-1609.68,648.43,0.001943
ASC-01,16,3468.5,-894.04,360.54,0.01902
ASC-01,17,2048.63,291.89,666.78,0.00736
ASC-01,18,855.25,1306.62,857.08,0.000952
ASC-01,19,3422.72,414.23,386.14,0.017556
ASC-01,20,-1992.84,-2750.82,324.21,0.003429
ASC-01,21,-2378.52,2225.2,359.9,-0.021378
ASC-01,22,787.78,2967.02,430.46,-0.002685
ASC-01,23,-3192.41,-2790.95,269.95,-0.001883
ASC-01,24,-3250.24,-1753.36,300.66,-0.010858
ASC-01,25,104.22,-2284.23,484.84,0.00499
ASC-01,26,-236.56,2444.09,522.14,-0.006589
ASC-01,27,2920.17,2871.95,323.76,0.010435
ASC-01,28,904.58,-3190.08,351.03,0.010811
ASC-01,29,98.82,-1173.06,794.71,-0.001231
ASC-01,30,-21.89,-2152.54,508.05,0.004392
ASC-01,31,-1767.4,-213.27,567.86,-0.005323
ASC-01,32,-3417.44,2951.13,268.72,-0.034255
ASC-01,33,-2153.18,-3008.79,301.54,0.00241
ASC-01,34,1344.22,-2301.05,446.25,0.009699
ASC-01,35,-2095.75,-90.8,500.16,-0.011837
ASC-01,36,-913.25,168.24,867.88,-0.006392
ASC-01,37,-3473.86,1718.51,299.61,-0.024188
ASC-01,38,2310.33,-436.2,567.78,0.016221
ASC-01,39,-2418.77,-2512.04,315.94,-0.000595
ASC-01,40,-1626.8,-1024.72,527.39,-0.006333
ASC-01,41,2662.33,3374.65,307.25,0.011253
ASC-01,42,68.54,1755.06,725.89,-0.004843
ASC-01,43,2430.05,-2685.59,337.3,0.018503
ASC-01,44,978.02,2157.46,576.97,0.000992
