station_id,day,east_disp_m,north_disp_m,vertical_disp_m,east_sigma_m,north_sigma_m,vertical_sigma_m
GNSS-01,0,0.000811,-0.001483,0.002372,0.0025,0.0025,0.006
GNSS-01,1,0.000465,0.005351,0.005168,0.0025,0.0025,0.006
GNSS-01,2,0.001669,0.001968,-0.005049,0.0025,0.0025,0.006
GNSS-01,3,0.001362,-0.001911,-0.009416,0.0025,0.0025,0.006
GNSS-01,4,0.001607,0.001841,0.005517,0.0025,0.0025,0.006
GNSS-01,5,0.0025,-0.001733,0.007657,0.0025,0.0025,0.006
GNSS-01,6,-0.000805,-0.000759,0.001019,0.0025,0.0025,0.006
GNSS-01,7,0.005588,-0.002022,0.004441,0.0025,0.0025,0.006
GNSS-01,8,-0.002718,0.001515,0.007961,0.0025,0.0025,0.006
GNSS-01,9,0.002166,-0.002948,0.001328,0.0025,0.0025,0.006
GNSS-01,10,-0.002006,-0.000374,0.004396,0.0025,0.0025,0.006
GNSS-01,11,0.000676,-0.004606,0.00125,0.0025,0.0025,0.006
GNSS-01,12,0.005209,0.004451,0.001993,0.0025,0.0025,0.006
GNSS-01,13,0.0004,-0.000594,0.006813,0.0025,0.0025,0.006
GNSS-01,14,-0.004976,0.003464,0.005978,0.0025,0.0025,0.006
GNSS-01,15,-0.003377,-0.000381,0.003263,0.0025,0.0025,0.006
GNSS-01,16,-0.001513,0.000925,0.008493,0.0025,0.0025,0.006
GNSS-01,17,0.001348,-0.005487,0.005452,0.0025,0.0025,0.006
GNSS-01,18,-0.002158,-0.005598,0.009094,0.0025,0.0025,0.006
GNSS-01,19,0.002622,-0.005154,0.003869,0.0025,0.0025,0.006
GNSS-01,20,-0.005149,-0.002222,-0.00099,0.0025,0.0025,0.006
GNSS-01,21,-0.000972,-0.001106,0.015026,0.0025,0.0025,0.006
GNSS-01,22,-0.000504,-0.003804,0.001572,0.0025,0.0025,0.006
GNSS-01,23,-0.002238,8.3e-05,0.009515,0.0025,0.0025,0.006
GNSS-01,24,-0.004278,-0.005026,0.014212,0.0025,0.0025,0.006
GNSS-01,25,0.000121,0.001185,0.004123,0.0025,0.0025,0.006
GNSS-01,26,-0.003689,0.004179,0.012986,0.0025,0.0025,0.006
GNSS-01,27,-0.001182,-0.000628,0.012281,0.0025,0.0025,0.006
GNSS-01,28,0.003395,-0.002261,0.02259,0.0025,0.0025,0.006
GNSS-01,29,-0.001759,0.000135,0.017941,0.0025,0.0025,0.006
GNSS-01,30,0.001514,-0.003161,0.004697,0.0025,0.0025,0.006
GNSS-01,31,-0.004138,-0.001404,0.01929,0.0025,0.0025,0.006
GNSS-01,32,-0.003875,-0.001356,0.019823,0.0025,0.0025,0.006
GNSS-01,33,-0.000133,-0.001146,0.013337,0.0025,0.0025,0.006
GNSS-01,34,0.000602,-0.002517,0.01561,0.0025,0.0025,0.006
GNSS-01,35,0.000822,-0.001005,0.012238,0.0025,0.0025,0.006
GNSS-01,36,0.002502,0.003046,0.013798,0.0025,0.0025,0.006
GNSS-01,37,0.004828,0.000877,0.009949,0.0025,0.0025,0.006
GNSS-01,38,-0.003097,5.7e-05,0.014397,0.0025,0.0025,0.006
GNSS-01,39,0.004124,-0.000437,0.024492,0.0025,0.0025,0.006
GNSS-01,40,0.003079,0.003195,0.012503,0.0025,0.0025,0.006
GNSS-01,41,0.001704,-0.001506,0.018847,0.0025,0.0025,0.006
GNSS-01,42,0.002056,-0.005771,0.031267,0.0025,0.0025,0.006
GNSS-01,43,0.008113,-0.001241,0.007264,0.0025,0.0025,0.006
GNSS-01,44,0.002049,0.001897,0.025234,0.0025,0.0025,0.006
GNSS-01,45,0.002967,0.005746,0.018162,0.0025,0.0025,0.006
GNSS-01,46,0.003049,-0.001195,0.014423,0.0025,0.0025,0.006
GNSS-01,47,-0.000174,0.003153,0.010629,0.0025,0.0025,0.006
GNSS-01,48,-0.001072,-0.000142,0.022443,0.0025,0.0025,0.006
GNSS-01,49,-0.001887,0.0,0.019727,0.0025,0.0025,0.006
GNSS-01,50,-0.005604,0.001312,0.033075,0.0025,0.0025,0.006
GNSS-01,51,-0.001611,0.002019,0.035032,0.0025,0.0025,0.006
GNSS-01,52,0.000797,0.004016,0.020477,0.0025,0.0025,0.006
GNSS-01,53,0.004285,0.00041,0.026432,0.0025,0.0025,0.006
GNSS-01,54,-0.0043,-0.006431,0.024319,0.0025,0.0025,0.006
GNSS-01,55,0.002732,-0.004262,0.025989,0.0025,0.0025,0.006
GNSS-01,56,-0.000719,-0.001578,0.027838,0.0025,0.0025,0.006
GNSS-01,57,-0.001497,-0.009519,0.023575,0.0025,0.0025,0.006
GNSS-01,58,-0.001224,-0.001444,0.024765,0.0025,0.0025,0.006
GNSS-01,59,-0.001177,-0.001154,0.035343,0.0025,0.0025,0.006
GNSS-01,60,0.009262,0.001663,0.016133,0.0025,0.0025,0.006
GNSS-01,61,0.000789,-0.004794,0.009244,0.0025,0.0025,0.006
GNSS-01,62,0.000124,-0.000659,0.021707,0.0025,0.0025,0.006
GNSS-01,63,0.001366,-0.003931,0.030272,0.0025,0.0025,0.006
GNSS-01,64,0.007261,-0.002656,0.017109,0.0025,0.0025,0.006
GNSS-01,65,0.003735,0.00403,0.040572,0.0025,0.0025,0.006
GNSS-01,66,0.005677,-0.006147,0.02997,0.0025,0.0025,0.006
