interferogram_id,point_id,x_m,y_m,elevation_m,los_displacement_m
ASC-01,0,10943.93,2007.4,253.12,-0.002676
ASC-01,1,10659.08,2429.92,253.46,0.006492
ASC-01,2,9330.7,1357.17,258.02,0.011179
ASC-01,3,-7156.61,-1976.66,271.13,-0.001894
ASC-01,4,-12684.02,2313.65,250.99,0.001647
ASC-01,5,13393.97,479.81,250.89,0.008587
ASC-01,7,-14921.08,10406.94,250.05,0.015562
ASC-01,9,14544.1,-11992.34,250.04,-0.001177
ASC-01,10,-6411.1,3784.8,270.36,0.00642
ASC-01,11,9409.83,10697.29,250.52,0.001015
ASC-01,13,-1851.6,-14135.37,250.53,-0.008892
ASC-01,15,-2738.0,-6847.46,273.49,0.012304
ASC-01,18,9420.2,-2267.8,257.05,-0.012411
ASC-01,19,-63.98,-8337.73,264.23,-0.005272
ASC-01,20,-7551.62,944.11,268.69,-0.000729
ASC-01,21,8300.58,-2746.5,261.94,0.008121
ASC-01,22,14376.85,-3157.37,250.43,0.001432
ASC-01,23,1150.3,-11683.75,252.17,-0.003195
ASC-01,24,7114.51,7663.27,254.3,0.002277
ASC-01,26,-14096.18,1679.53,250.48,-0.002504
ASC-01,27,2969.33,-5649.8,293.64,0.001032
ASC-01,28,14018.86,14929.3,250.02,0.001866
ASC-01,29,-11479.9,6974.94,250.73,0.002992
ASC-01,31,1506.85,1762.7,642.65,0.006121
ASC-01,32,6669.82,3541.11,272.22,-0.009129
ASC-01,33,1582.57,5734.73,300.26,0.003343
ASC-01,34,1431.05,-6552.57,285.82,-0.000807
ASC-01,35,-13453.84,-7342.99,250.27,-0.005503
ASC-01,38,-12781.14,-14163.69,250.03,-0.001425
ASC-01,39,13754.05,-1156.46,250.71,0.003842
ASC-01,40,4790.14,10839.95,251.92,-0.001625
ASC-01,41,-1326.51,-2312.8,566.43,-0.002246
ASC-01,43,-663.3,12039.64,251.64,0.000322
ASC-01,46,7408.09,-14462.6,250.18,0.007743
ASC-01,51,11246.09,-12303.04,250.15,0.008887
ASC-01,52,-3850.69,6817.46,266.68,-0.01034
ASC-01,55,4629.31,-4351.04,294.96,-0.003413
